latitude,longitude,mag
64.4608,-149.3786,1.4
42.0248333,-112.5733333,0.97
33.7041667,-116.7331667,0.61
44.7475,-110.6621667,2.42
44.747,-110.6665,1.96
19.2736664,-154.6071625,1.85
33.3088333,-116.3331667,1.82
47.3656667,-112.9981667,1.13
34.5658333,-117.2571667,1.14
-57.0824,-150.7431,5.2
45.31,-112.7026667,0.53
35.8075,-117.5363333,1.19
59.6652,-153.042,1.8
37.4025,-113.8471667,1.52
44.6213333,-111.1341667,1.93
36.1593333,-117.9375,0.77
36.155,-117.9523333,0.9
64.6955,-148.872,0.2
45.9055,-112.2546667,0.73
38.337,-118.8039,1.4
17.8463,-67.11,2.3
36.1035,-89.4525,2.83
38.8248329,-122.7801666,1.51
38.8230019,-122.7803345,1.32
3.3002,98.3966,4.5
46.2433333,-122.2301667,-0.33
38.4204,-118.8446,1.1
35.9936667,-116.071,1.75
35.9955,-116.0725,2.48
17.8747,-67.1675,2
36.1096667,-117.9121667,1.18
36.007,-116.1205,0.4
52.209,-170.2368,2.7
32.8188333,-115.4588333,1.73
37.2603,-116.0611,-0.2
35.9863,-116.0938,0.9
32.6898333,-115.893,1.24
39.5086667,-112.0465,1.19
65.0815,-148.6408,0.8
38.1407,-119.0712,1.3
38.3546,-118.9046,0.8
-8.6596,118.3231,4.2
19.3136667,-155.2116667,1.01
33.692,-116.7798333,0.66
62.1593,-150.681,2
46.9712,152.6891,4.4
38.8128319,-122.8144989,1.37
37.4301667,-118.8811667,1.43
61.7741,-150.8906,1.5
17.8616,-67.1191,2.2
33.8511667,-116.7935,1.18
61.738,-148.2246,1.2
33.6118333,-116.93,0.39
59.8606,-153.0943,1.9
19.4108333,-155.3206667,2.15
35.9894,-116.0845,0.5
36.7025,-116.3161,0.1
38.8441658,-122.829834,0.9
18.7173,-64.9093,2.6
51.5317,-178.2409,2
60.3746,-152.2133,1.6
33.6645,-116.733,0.34
62.8923,-149.9246,1.7
33.669,-116.7701667,0.64
33.0581667,-116.4413333,1.06
39.3781667,-123.122,1.7
33.5768333,-116.5918333,0.33
19.0896664,-155.4411621,2.13
32.3873333,-115.2023333,2.17
61.7279,-148.1934,0.7
61.5734,-149.9971,1.7
34.0361667,-117.2341667,0.78
33.6771667,-116.6891667,0.53
64.6448,-148.9702,0
38.0414,-116.98,1.9
59.9329,-152.5662,1.8
33.4486667,-116.7131667,0.31
33.1561667,-116.0063333,0.91
